[Log] Region,Kön,Ålder,Födelseregion,2022M08
1984 Arboga,totalt,16-64 år,totalt,368
2021 Vansbro,totalt,16-64 år,totalt,85
2023 Malung-Sälen,totalt,16-64 år,totalt,111
2026 Gagnef,totalt,16-64 år,totalt,98
2029 Leksand,totalt,16-64 år,totalt,179
2031 Rättvik,totalt,16-64 år,totalt,107
2034 Orsa,totalt,16-64 år,totalt,128
2039 Älvdalen,totalt,16-64 år,totalt,104
2061 Smedjebacken,totalt,16-64 år,totalt,185
2062 Mora,totalt,16-64 år,totalt,248
2080 Falun,totalt,16-64 år,totalt,933
2081 Borlänge,totalt,16-64 år,totalt,1588
2082 Säter,totalt,16-64 år,totalt,138
2083 Hedemora,totalt,16-64 år,totalt,377
2084 Avesta,totalt,16-64 år,totalt,675
2085 Ludvika,totalt,16-64 år,totalt,875
2101 Ockelbo,totalt,16-64 år,totalt,153
2104 Hofors,totalt,16-64 år,totalt,288
2121 Ovanåker,totalt,16-64 år,totalt,275
2132 Nordanstig,totalt,16-64 år,totalt,187
2161 Ljusdal,totalt,16-64 år,totalt,427
2180 Gävle,totalt,16-64 år,totalt,3735
2181 Sandviken,totalt,16-64 år,totalt,1636
2182 Söderhamn,totalt,16-64 år,totalt,930
2183 Bollnäs,totalt,16-64 år,totalt,927
2184 Hudiksvall,totalt,16-64 år,totalt,716
2260 Ånge,totalt,16-64 år,totalt,175
2262 Timrå,totalt,16-64 år,totalt,470
2280 Härnösand,totalt,16-64 år,totalt,822
2281 Sundsvall,totalt,16-64 år,totalt,2281
2282 Kramfors,totalt,16-64 år,totalt,447
2283 Sollefteå,totalt,16-64 år,totalt,392
2284 Örnsköldsvik,totalt,16-64 år,totalt,1100
2303 Ragunda,totalt,16-64 år,totalt,84
2305 Bräcke,totalt,16-64 år,totalt,120
2309 Krokom,totalt,16-64 år,totalt,152
2313 Strömsund,totalt,16-64 år,totalt,232
2321 Åre,totalt,16-64 år,totalt,166
2326 Berg,totalt,16-64 år,totalt,108
2361 Härjedalen,totalt,16-64 år,totalt,128
2380 Östersund,totalt,16-64 år,totalt,1095
2401 Nordmaling,totalt,16-64 år,totalt,116
2403 Bjurholm,totalt,16-64 år,totalt,38
2404 Vindeln,totalt,16-64 år,totalt,69
2409 Robertsfors,totalt,16-64 år,totalt,72
2417 Norsjö,totalt,16-64 år,totalt,69
2418 Malå,totalt,16-64 år,totalt,36
2421 Storuman,totalt,16-64 år,totalt,75
2422 Sorsele,totalt,16-64 år,totalt,31
2425 Dorotea,totalt,16-64 år,totalt,45
2460 Vännäs,totalt,16-64 år,totalt,135
2462 Vilhelmina,totalt,16-64 år,totalt,128
2463 Åsele,totalt,16-64 år,totalt,59
2480 Umeå,totalt,16-64 år,totalt,2149
2481 Lycksele,totalt,16-64 år,totalt,239
2482 Skellefteå,totalt,16-64 år,totalt,864
2505 Arvidsjaur,totalt,16-64 år,totalt,88
2506 Arjeplog,totalt,16-64 år,totalt,25
2510 Jokkmokk,totalt,16-64 år,totalt,43
2513 Överkalix,totalt,16-64 år,totalt,53
2514 Kalix,totalt,16-64 år,totalt,250
2518 Övertorneå,totalt,16-64 år,totalt,58
2521 Pajala,totalt,16-64 år,totalt,50
2523 Gällivare,totalt,16-64 år,totalt,167
2560 Älvsbyn,totalt,16-64 år,totalt,139
2580 Luleå,totalt,16-64 år,totalt,1393
2581 Piteå,totalt,16-64 år,totalt,581
2582 Boden,totalt,16-64 år,totalt,478
2583 Haparanda,totalt,16-64 år,totalt,206
2584 Kiruna,totalt,16-64 år,totalt,220
